"treatment","mean_cells","sd_cells","n_cells","SE_cells"
"ascl1",12.1139724225,1.47988796107484,4,0.73994398053742
"dnrbpj_ascl1",2.810845947,0.315111931742242,3,0.181929958616247
"nicd_ascl1",21.21035635,4.84143996475994,4,2.42071998237997
"pcig",5.3191881452,1.75845883517498,5,0.786406698217273
